pntP=[0.058 0.097 0.053 0.096 0.103 0.089 0.035 0.082 0.03 0.055 0.058 0.057 0.049 0.087 0.051;0.058 0.097 0.089 0.035 0.082 0.053 0.096 0.103 0.03 0.055 0.058 0.057 0.087 0.049 0.051;0.058 0.089 0.053 0.03 0.057 0.097 0.035 0.082 0.096 0.055 0.087 0.103 0.049 0.058 0.051;
0.076 0.082 0.06 0.086 0.095 0.091 0.045 0.082 0.034 0.045 0.048 0.047 0.06 0.105 0.044;0.076 0.082 0.091 0.045 0.082 0.06 0.086 0.095 0.034 0.045 0.048 0.047 0.105 0.06 0.044;0.076 0.091 0.06 0.034 0.047 0.082 0.045 0.082 0.086 0.045 0.105 0.095 0.06 0.048 0.044;
0.054 0.075 0.05 0.088 0.102 0.092 0.036 0.089 0.034 0.054 0.058 0.052 0.047 0.115 0.054;0.054 0.075 0.092 0.036 0.089 0.05 0.088 0.102 0.034 0.054 0.058 0.052 0.115 0.047 0.054;0.054 0.092 0.05 0.034 0.052 0.075 0.036 0.089 0.088 0.054 0.115 0.102 0.047 0.058 0.054;
0.067 0.098 0.052 0.105 0.112 0.083 0.04 0.087 0.027 0.048 0.051 0.053 0.051 0.082 0.044;0.067 0.098 0.083 0.04 0.087 0.052 0.105 0.112 0.027 0.048 0.051 0.053 0.082 0.051 0.044;0.067 0.083 0.052 0.027 0.053 0.098 0.04 0.087 0.105 0.048 0.082 0.112 0.051 0.051 0.044;
0.056 0.089 0.059 0.083 0.089 0.094 0.046 0.086 0.027 0.056 0.056 0.062 0.044 0.108 0.045;0.056 0.089 0.094 0.046 0.086 0.059 0.083 0.089 0.027 0.056 0.056 0.062 0.108 0.044 0.045;0.056 0.094 0.059 0.027 0.062 0.089 0.046 0.086 0.083 0.056 0.108 0.089 0.044 0.056 0.045;
0.068 0.084 0.052 0.097 0.095 0.098 0.048 0.077 0.024 0.056 0.06 0.044 0.045 0.098 0.054;0.068 0.084 0.098 0.048 0.077 0.052 0.097 0.095 0.024 0.056 0.06 0.044 0.098 0.045 0.054;0.068 0.098 0.052 0.024 0.044 0.084 0.048 0.077 0.097 0.056 0.098 0.095 0.045 0.06 0.054;
0.067 0.082 0.058 0.088 0.106 0.084 0.052 0.085 0.037 0.055 0.044 0.061 0.042 0.085 0.054;0.067 0.082 0.084 0.052 0.085 0.058 0.088 0.106 0.037 0.055 0.044 0.061 0.085 0.042 0.054;0.067 0.084 0.058 0.037 0.061 0.082 0.052 0.085 0.088 0.055 0.085 0.106 0.042 0.044 0.054;
0.058 0.086 0.059 0.094 0.11 0.081 0.041 0.079 0.021 0.056 0.05 0.046 0.059 0.106 0.054;0.058 0.086 0.081 0.041 0.079 0.059 0.094 0.11 0.021 0.056 0.05 0.046 0.106 0.059 0.054;0.058 0.081 0.059 0.021 0.046 0.086 0.041 0.079 0.094 0.056 0.106 0.11 0.059 0.05 0.054;
0.065 0.089 0.067 0.108 0.101 0.092 0.033 0.079 0.033 0.066 0.044 0.052 0.044 0.083 0.044;0.065 0.089 0.092 0.033 0.079 0.067 0.108 0.101 0.033 0.066 0.044 0.052 0.083 0.044 0.044;0.065 0.092 0.067 0.033 0.052 0.089 0.033 0.079 0.108 0.066 0.083 0.101 0.044 0.044 0.044;
0.056 0.09 0.039 0.087 0.1 0.082 0.046 0.086 0.03 0.061 0.062 0.053 0.051 0.101 0.056;0.056 0.09 0.082 0.046 0.086 0.039 0.087 0.1 0.03 0.061 0.062 0.053 0.101 0.051 0.056;0.056 0.082 0.039 0.03 0.053 0.09 0.046 0.086 0.087 0.061 0.101 0.1 0.051 0.062 0.056;
0.05 0.088 0.051 0.1 0.104 0.086 0.051 0.086 0.027 0.052 0.043 0.066 0.049 0.095 0.052;0.05 0.088 0.086 0.051 0.086 0.051 0.1 0.104 0.027 0.052 0.043 0.066 0.095 0.049 0.052;0.05 0.086 0.051 0.027 0.066 0.088 0.051 0.086 0.1 0.052 0.095 0.104 0.049 0.043 0.052;
0.078 0.084 0.05 0.079 0.099 0.089 0.044 0.096 0.026 0.06 0.057 0.048 0.058 0.082 0.05;0.078 0.084 0.089 0.044 0.096 0.05 0.079 0.099 0.026 0.06 0.057 0.048 0.082 0.058 0.05;0.078 0.089 0.05 0.026 0.048 0.084 0.044 0.096 0.079 0.06 0.082 0.099 0.058 0.057 0.05;
0.071 0.085 0.045 0.083 0.103 0.083 0.043 0.086 0.032 0.051 0.051 0.054 0.053 0.103 0.057;0.071 0.085 0.083 0.043 0.086 0.045 0.083 0.103 0.032 0.051 0.051 0.054 0.103 0.053 0.057;0.071 0.083 0.045 0.032 0.054 0.085 0.043 0.086 0.083 0.051 0.103 0.103 0.053 0.051 0.057;
0.053 0.107 0.055 0.08 0.098 0.086 0.035 0.092 0.023 0.057 0.066 0.054 0.048 0.096 0.05;0.053 0.107 0.086 0.035 0.092 0.055 0.08 0.098 0.023 0.057 0.066 0.054 0.096 0.048 0.05;0.053 0.086 0.055 0.023 0.054 0.107 0.035 0.092 0.08 0.057 0.096 0.098 0.048 0.066 0.05;
0.072 0.092 0.066 0.109 0.094 0.086 0.034 0.083 0.036 0.064 0.05 0.052 0.043 0.073 0.046;0.072 0.092 0.086 0.034 0.083 0.066 0.109 0.094 0.036 0.064 0.05 0.052 0.073 0.043 0.046;0.072 0.086 0.066 0.036 0.052 0.092 0.034 0.083 0.109 0.064 0.073 0.094 0.043 0.05 0.046;
0.079 0.085 0.046 0.1 0.112 0.079 0.042 0.069 0.026 0.05 0.053 0.057 0.065 0.1 0.037;0.079 0.085 0.079 0.042 0.069 0.046 0.1 0.112 0.026 0.05 0.053 0.057 0.1 0.065 0.037;0.079 0.079 0.046 0.026 0.057 0.085 0.042 0.069 0.1 0.05 0.1 0.112 0.065 0.053 0.037;
0.069 0.098 0.041 0.091 0.087 0.099 0.043 0.07 0.04 0.071 0.07 0.052 0.044 0.074 0.051;0.069 0.098 0.099 0.043 0.07 0.041 0.091 0.087 0.04 0.071 0.07 0.052 0.074 0.044 0.051;0.069 0.099 0.041 0.04 0.052 0.098 0.043 0.07 0.091 0.071 0.074 0.087 0.044 0.07 0.051;
0.057 0.104 0.068 0.105 0.086 0.076 0.034 0.082 0.025 0.053 0.058 0.052 0.05 0.097 0.053;0.057 0.104 0.076 0.034 0.082 0.068 0.105 0.086 0.025 0.053 0.058 0.052 0.097 0.05 0.053;0.057 0.076 0.068 0.025 0.052 0.104 0.034 0.082 0.105 0.053 0.097 0.086 0.05 0.058 0.053;
0.053 0.092 0.061 0.098 0.081 0.082 0.044 0.084 0.027 0.062 0.053 0.058 0.054 0.096 0.055;0.053 0.092 0.082 0.044 0.084 0.061 0.098 0.081 0.027 0.062 0.053 0.058 0.096 0.054 0.055;0.053 0.082 0.061 0.027 0.058 0.092 0.044 0.084 0.098 0.062 0.096 0.081 0.054 0.053 0.055;
0.065 0.081 0.051 0.099 0.092 0.092 0.03 0.086 0.041 0.052 0.052 0.06 0.039 0.096 0.064;0.065 0.081 0.092 0.03 0.086 0.051 0.099 0.092 0.041 0.052 0.052 0.06 0.096 0.039 0.064;0.065 0.092 0.051 0.041 0.06 0.081 0.03 0.086 0.099 0.052 0.096 0.092 0.039 0.052 0.064;
0.053 0.086 0.049 0.091 0.098 0.075 0.044 0.062 0.029 0.065 0.067 0.063 0.061 0.096 0.061;0.053 0.086 0.075 0.044 0.062 0.049 0.091 0.098 0.029 0.065 0.067 0.063 0.096 0.061 0.061;0.053 0.075 0.049 0.029 0.063 0.086 0.044 0.062 0.091 0.065 0.096 0.098 0.061 0.067 0.061;
0.068 0.082 0.053 0.094 0.089 0.071 0.039 0.086 0.03 0.055 0.047 0.051 0.057 0.121 0.057;0.068 0.082 0.071 0.039 0.086 0.053 0.094 0.089 0.03 0.055 0.047 0.051 0.121 0.057 0.057;0.068 0.071 0.053 0.03 0.051 0.082 0.039 0.086 0.094 0.055 0.121 0.089 0.057 0.047 0.057;
0.053 0.092 0.056 0.083 0.096 0.083 0.042 0.086 0.03 0.051 0.058 0.062 0.049 0.105 0.054;0.053 0.092 0.083 0.042 0.086 0.056 0.083 0.096 0.03 0.051 0.058 0.062 0.105 0.049 0.054;0.053 0.083 0.056 0.03 0.062 0.092 0.042 0.086 0.083 0.051 0.105 0.096 0.049 0.058 0.054;
0.076 0.084 0.052 0.106 0.103 0.081 0.03 0.097 0.021 0.055 0.042 0.055 0.049 0.099 0.05;0.076 0.084 0.081 0.03 0.097 0.052 0.106 0.103 0.021 0.055 0.042 0.055 0.099 0.049 0.05;0.076 0.081 0.052 0.021 0.055 0.084 0.03 0.097 0.106 0.055 0.099 0.103 0.049 0.042 0.05;
0.058 0.085 0.065 0.088 0.097 0.078 0.035 0.086 0.027 0.059 0.055 0.05 0.061 0.101 0.055;0.058 0.085 0.078 0.035 0.086 0.065 0.088 0.097 0.027 0.059 0.055 0.05 0.101 0.061 0.055;0.058 0.078 0.065 0.027 0.05 0.085 0.035 0.086 0.088 0.059 0.101 0.097 0.061 0.055 0.055;
0.058 0.08 0.054 0.086 0.098 0.097 0.048 0.072 0.026 0.057 0.062 0.07 0.054 0.087 0.051;0.058 0.08 0.097 0.048 0.072 0.054 0.086 0.098 0.026 0.057 0.062 0.07 0.087 0.054 0.051;0.058 0.097 0.054 0.026 0.07 0.08 0.048 0.072 0.086 0.057 0.087 0.098 0.054 0.062 0.051;
0.063 0.093 0.054 0.093 0.095 0.09 0.027 0.073 0.031 0.051 0.06 0.058 0.049 0.101 0.062;0.063 0.093 0.09 0.027 0.073 0.054 0.093 0.095 0.031 0.051 0.06 0.058 0.101 0.049 0.062;0.063 0.09 0.054 0.031 0.058 0.093 0.027 0.073 0.093 0.051 0.101 0.095 0.049 0.06 0.062;
0.064 0.087 0.043 0.092 0.106 0.073 0.047 0.083 0.028 0.067 0.055 0.055 0.054 0.095 0.051;0.064 0.087 0.073 0.047 0.083 0.043 0.092 0.106 0.028 0.067 0.055 0.055 0.095 0.054 0.051;0.064 0.073 0.043 0.028 0.055 0.087 0.047 0.083 0.092 0.067 0.095 0.106 0.054 0.055 0.051;
0.061 0.092 0.057 0.104 0.089 0.084 0.047 0.079 0.027 0.053 0.04 0.048 0.056 0.108 0.055;0.061 0.092 0.084 0.047 0.079 0.057 0.104 0.089 0.027 0.053 0.04 0.048 0.108 0.056 0.055;0.061 0.084 0.057 0.027 0.048 0.092 0.047 0.079 0.104 0.053 0.108 0.089 0.056 0.04 0.055;
0.061 0.088 0.053 0.092 0.092 0.075 0.041 0.065 0.033 0.066 0.078 0.062 0.045 0.102 0.047;0.061 0.088 0.075 0.041 0.065 0.053 0.092 0.092 0.033 0.066 0.078 0.062 0.102 0.045 0.047;0.061 0.075 0.053 0.033 0.062 0.088 0.041 0.065 0.092 0.066 0.102 0.092 0.045 0.078 0.047;
0.059 0.092 0.064 0.075 0.104 0.106 0.039 0.084 0.031 0.032 0.046 0.061 0.063 0.094 0.05;0.059 0.092 0.106 0.039 0.084 0.064 0.075 0.104 0.031 0.032 0.046 0.061 0.094 0.063 0.05;0.059 0.106 0.064 0.031 0.061 0.092 0.039 0.084 0.075 0.032 0.094 0.104 0.063 0.046 0.05;
0.064 0.078 0.056 0.105 0.086 0.098 0.036 0.07 0.034 0.067 0.079 0.05 0.048 0.096 0.033;0.064 0.078 0.098 0.036 0.07 0.056 0.105 0.086 0.034 0.067 0.079 0.05 0.096 0.048 0.033;0.064 0.098 0.056 0.034 0.05 0.078 0.036 0.07 0.105 0.067 0.096 0.086 0.048 0.079 0.033;
0.049 0.079 0.047 0.102 0.121 0.089 0.039 0.074 0.021 0.056 0.055 0.052 0.048 0.107 0.061;0.049 0.079 0.089 0.039 0.074 0.047 0.102 0.121 0.021 0.056 0.055 0.052 0.107 0.048 0.061;0.049 0.089 0.047 0.021 0.052 0.079 0.039 0.074 0.102 0.056 0.107 0.121 0.048 0.055 0.061;
0.055 0.098 0.05 0.105 0.087 0.092 0.03 0.08 0.031 0.062 0.06 0.059 0.055 0.094 0.042;0.055 0.098 0.092 0.03 0.08 0.05 0.105 0.087 0.031 0.062 0.06 0.059 0.094 0.055 0.042;0.055 0.092 0.05 0.031 0.059 0.098 0.03 0.08 0.105 0.062 0.094 0.087 0.055 0.06 0.042;
0.056 0.101 0.065 0.083 0.1 0.073 0.036 0.087 0.03 0.052 0.052 0.06 0.051 0.095 0.059;0.056 0.101 0.073 0.036 0.087 0.065 0.083 0.1 0.03 0.052 0.052 0.06 0.095 0.051 0.059;0.056 0.073 0.065 0.03 0.06 0.101 0.036 0.087 0.083 0.052 0.095 0.1 0.051 0.052 0.059;
0.077 0.08 0.055 0.098 0.098 0.087 0.041 0.074 0.025 0.049 0.057 0.053 0.048 0.109 0.049;0.077 0.08 0.087 0.041 0.074 0.055 0.098 0.098 0.025 0.049 0.057 0.053 0.109 0.048 0.049;0.077 0.087 0.055 0.025 0.053 0.08 0.041 0.074 0.098 0.049 0.109 0.098 0.048 0.057 0.049;
0.066 0.1 0.048 0.085 0.09 0.092 0.05 0.071 0.036 0.061 0.073 0.048 0.036 0.089 0.055;0.066 0.1 0.092 0.05 0.071 0.048 0.085 0.09 0.036 0.061 0.073 0.048 0.089 0.036 0.055;0.066 0.092 0.048 0.036 0.048 0.1 0.05 0.071 0.085 0.061 0.089 0.09 0.036 0.073 0.055;
0.058 0.095 0.051 0.082 0.089 0.082 0.04 0.094 0.027 0.059 0.054 0.048 0.056 0.1 0.065;0.058 0.095 0.082 0.04 0.094 0.051 0.082 0.089 0.027 0.059 0.054 0.048 0.1 0.056 0.065;0.058 0.082 0.051 0.027 0.048 0.095 0.04 0.094 0.082 0.059 0.1 0.089 0.056 0.054 0.065;
0.069 0.092 0.064 0.097 0.103 0.094 0.05 0.075 0.018 0.045 0.052 0.06 0.041 0.096 0.044;0.069 0.092 0.094 0.05 0.075 0.064 0.097 0.103 0.018 0.045 0.052 0.06 0.096 0.041 0.044;0.069 0.094 0.064 0.018 0.06 0.092 0.05 0.075 0.097 0.045 0.096 0.103 0.041 0.052 0.044;
0.062 0.104 0.051 0.077 0.089 0.089 0.036 0.086 0.026 0.056 0.06 0.063 0.058 0.1 0.043;0.062 0.104 0.089 0.036 0.086 0.051 0.077 0.089 0.026 0.056 0.06 0.063 0.1 0.058 0.043;0.062 0.089 0.051 0.026 0.063 0.104 0.036 0.086 0.077 0.056 0.1 0.089 0.058 0.06 0.043;
